SYMBOL,SERIES,TIMESTAMP,ISIN
GALLANTT,BE,2022-10-13,INE03RS01027
GANDHITUBE,EQ,2022-10-13,INE0JS101016
GANECOS,EQ,2022-10-13,INE506A01018
GANESHBE,EQ,2022-10-13,INE089A01023
GANESHHOUC,EQ,2022-10-13,INE417B01040
GANGAFORGE,EQ,2022-10-13,INE341R01014
GANGESSECU,EQ,2022-10-13,INE741L01018
GARFIBRES,EQ,2022-10-13,INE477B01010
GATEWAY,EQ,2022-10-13,INE366A01041
GATI,EQ,2022-10-13,INE600Y01019
GAYAHWS,EQ,2022-10-13,INE221B01012
GAYAPROJ,EQ,2022-10-13,INE256H01015
GEECEE,BE,2022-10-13,INE255Z01019
GEEKAYWIRE,EQ,2022-10-13,INE07O001018
GENCON,BE,2022-10-13,INE962C01027
GENESYS,EQ,2022-10-13,INE738I01010
GENUSPAPER,EQ,2022-10-13,INE532F01054
GENUSPOWER,EQ,2022-10-13,INE066A01021
GEOJITFSL,EQ,2022-10-13,INE126A01031
GEPIL,EQ,2022-10-13,INE546V01010
GESHIP,EQ,2022-10-13,INE276C01014
GET&D,EQ,2022-10-13,INE230A01023
GFLLIMITED,EQ,2022-10-13,INE158B01016
GFSTEELS,EQ,2022-10-13,INE184H01027
GHCL,EQ,2022-10-13,INE668G01021
GICHSGFIN,EQ,2022-10-13,INE205B01023
GICRE,EQ,2022-10-13,INE086A01029
GILLANDERS,EQ,2022-10-13,INE822G01016
GILLETTE,EQ,2022-10-13,INE285A01027
GINNIFILA,EQ,2022-10-13,INE819L01012
